department,section,avg_consum_mean,avg_consum_std,qty_customers_count
1,1,282.7841522216797,77.08163117319948,10
1,2,245.16183853149414,136.749888963007,4
1,3,182.2257080078125,60.672414627125185,2
1,4,224.21898735894098,140.49951145321316,9
1,5,257.03653390066967,63.605015942403405,7
1,6,188.85201416015624,64.93557684722927,5
1,7,217.9752433083274,106.96056664685602,11
1,8,246.8952518609854,101.2211469453151,13
1,9,227.37974791093305,93.22472413222243,88
1,10,224.28316265698447,105.13354276457362,438
1,11,225.14750168734204,107.6691320352216,149
1,12,222.98712861313618,104.41980466645911,310
1,13,220.13687586229898,106.30566492224315,43
1,14,233.4381187189193,103.01909045111847,112
1,15,261.7276245843797,102.95026180771558,35
1,16,204.3625035479786,77.69522778566534,41
1,17,211.47688490411994,94.30755931667896,352
1,18,215.6757129581495,106.33396129954569,87
1,19,253.7845861434936,109.9052931554224,20
1,20,224.6006109963603,102.61546183082034,134
1,21,275.9793418520973,103.65691332697357,35
1,22,228.1850683046572,94.11681869007383,376
1,23,247.92570591832057,95.71825261014855,74
1,24,240.67391622291427,106.7982261137768,53
1,99,231.9892663501558,100.2914498954865,28
2,6,394.3107503255208,,1
2,7,324.5563015407986,24.049610433212816,3
3,1,173.70866863958295,103.2287669548139,62
3,2,194.63169550214496,102.66177978914996,70
3,3,145.29972764650984,113.76626698507629,15
3,4,201.40142008038157,103.15414253960881,624
3,5,192.7073846134138,96.84982087552119,135
3,6,178.00499810670547,104.42590342231475,57
3,8,123.1843000154073,99.48765388726584,267
3,9,154.69281628926595,126.13757485505899,10
3,10,144.62045180386514,119.24314972434259,29
3,11,132.69900761710275,89.6485122547671,12
3,12,226.7799563090006,109.94110798633037,10
3,13,140.32684961954752,78.5941317667949,14
3,14,124.95527642567951,120.10201818618408,10
3,15,86.98515014648439,48.8208099880325,5
3,16,178.59113739542877,92.46985161314086,173
3,17,156.62167087391546,102.21486063708228,179
3,27,191.33700854736458,95.6027799687358,152
3,37,213.4240220109871,103.0165971028289,479
4,1,63.45091756184896,,1
4,2,86.73662877965857,64.32868927862877,9
4,3,108.00654705365498,96.54975933208411,16
4,9,116.89000599724906,84.73819426665251,14
4,12,64.27587683995564,54.05153673539135,6
5,1,161.2074335478793,96.89124480361518,295
5,4,25.929583231608074,,1
5,5,168.07899729410806,140.23836006108397,2
5,6,350.4243977864583,,1
5,7,151.58175093332926,154.27185030648013,5
5,8,302.2060852050781,38.277347922591225,2
5,9,236.80083465576172,154.77664750324234,4
5,10,307.4825303819444,117.38738405957709,3
5,12,350.0224202473958,19.602187692912622,2
5,14,139.1589655387096,104.04459915990795,26
6,1,162.85140092378464,103.36006336454905,214
6,2,111.58375350634257,108.88249076948982,14
6,3,58.01874923706055,22.36342981895095,2
6,4,137.53894583384195,203.02513371474936,3
6,5,160.13958740234375,66.42962647967659,2
6,6,155.12158203125,,1
6,9,186.55445607503253,197.75236583752167,2
6,10,95.71539688110352,67.79691986615566,4
6,11,197.03781611124674,118.19465751911234,10
6,12,157.1562788221571,102.02372842060035,3
7,1,157.92433615883198,94.98901828848847,100
7,2,149.43508625030518,154.8998196524339,3
7,3,262.48492431640625,59.996842230386086,2
7,4,171.68611201533565,120.35609843614671,9
7,5,95.13475290934245,55.456973425806666,2
7,6,89.9120421409607,121.90137962514426,2
8,1,180.72601847506277,103.48198062170104,67
8,2,129.22534823146736,70.06584595443222,22
8,3,248.10594685872397,126.36531971427763,3
8,5,240.63137308756512,91.5286281536663,4
8,6,228.18225945366757,168.01049628730425,3
8,7,7.633166631062825,,1
8,8,238.68908013237845,148.6833200117404,3
8,9,149.7251993815104,39.153656069144276,3
8,10,246.6468573676215,131.7882267286087,3
8,11,156.0887451171875,,1
8,12,127.5981486002604,100.53728883633768,5
8,13,93.77527236938477,49.074038072083965,4
9,1,166.06773311260977,145.6409488495076,22
9,2,385.76416015625,,1
9,3,237.83289998372396,131.58432509126328,5
9,5,250.4918212890625,,1
9,6,95.42521770795187,85.46873261662505,8
9,7,189.86407470703125,,1
9,9,75.96045841111078,71.20995961329119,18
9,10,352.8042399088542,,1
9,13,158.69708251953125,,1
10,1,178.13430817165946,91.23681401939776,1385
10,2,276.10308329264325,177.41674115943758,2
10,3,307.0273030598958,78.94662690355113,3
10,5,253.05968221028647,45.061128520908454,4
10,6,211.7028350830078,187.2188995790915,2
11,1,166.1600018133197,104.30042553107482,38
11,2,109.44868342081706,79.36907234854544,9
11,4,64.04110336303711,77.58400772932404,4
11,6,158.51364347669815,161.2725509708323,3
11,7,115.83299763997395,,1
11,10,147.13438924153647,42.980681350722165,3
11,11,232.99695841471356,92.6262810024361,4
11,12,218.2824985300962,93.78958396475983,97
12,1,168.51982840871415,95.79933260609776,123
12,2,126.09283447265625,,1
12,3,44.04191589355469,,1
12,4,171.73899714152017,202.60565254418597,2
12,8,383.9936116536458,,1
12,10,381.72344292534723,19.317320652834173,3
13,1,160.35603498509434,76.33466771651605,44
13,3,178.61080593532984,59.36627339583162,3
13,5,364.2725016276042,,1
13,7,129.57808430989584,,1
13,9,190.03742811414932,78.2612352804762,6
14,1,134.57657877604166,,1
14,4,114.62100219726562,,1
14,5,97.4661636352539,52.343341386977144,2
14,6,234.1744181315104,161.97232363273923,3
14,7,57.91679128011068,18.931783511325325,2
14,8,95.14150161743163,69.28697159895664,5
14,9,308.3009847005208,,1
15,1,199.35616871410255,107.11451945120423,173
15,2,223.71190923864722,93.87879000796146,53
15,3,155.44118703206382,109.69995720397831,35
15,4,82.64450073242188,34.929798693636045,4
15,6,124.70926570892337,77.63079052179155,40
15,7,94.8909657796224,45.80404758906444,5
15,8,176.46780395507812,130.035549337381,3
15,9,183.9765444861518,115.460214433672,9
15,10,137.6950887044271,,1
15,11,116.78534398760114,91.30945512990934,7
16,1,173.9514894833725,113.3327333350709,178
16,2,97.63726338909731,88.70069325794019,12
16,3,118.30114583021553,111.28237625444497,13
16,4,134.89390309651694,120.74017817577236,6
16,5,72.66060174306236,59.79624948954925,5
16,6,152.1492037807315,99.30234284067788,186
16,7,133.99910494133275,104.30296070429283,27
17,1,179.05113895102346,95.8130560892969,239
17,2,130.64958699544272,,1
17,3,170.3623188633784,101.06739208482323,107
17,4,101.343505859375,69.77871621478864,2
17,6,233.48028055826822,173.51108104772752,2
17,8,48.50666809082031,,1
17,9,223.6317049662272,146.39560044855807,4
17,11,125.3469721476237,93.39612439087003,3
17,12,400.1417643229167,,1
17,13,262.0840148925781,73.85331080135104,4
18,1,302.24302164713544,40.8655178621206,3
18,3,180.5307231479221,91.84386935084987,12
18,6,338.1267496744792,,1
18,7,234.92500813802084,,1
18,9,133.43882840209537,95.79951924703104,48
18,10,168.53067837821112,121.03858697686651,36
18,11,176.7405548095703,92.41900192936808,6
18,12,116.7130839029948,,1
18,14,177.98971303304037,170.21079983580617,2
19,2,88.83610954284667,72.47627420998718,10
19,4,145.22276681264242,96.92472467171417,10
19,5,72.40149943033855,,1
19,6,37.5619150797526,,1
19,7,151.62225341796875,,1
19,9,226.85933430989584,,1
